value,customs_districts_label,location_chinese_trader,trader_zone,customs_regime,country_of_destination,country_of_consumption,location_chinese_producer,producer_zone,transportation_modes,china_hs8,quantity_unit,quantity
9275,,Dezhou,Others,Ordinary trade,Denmark,Denmark,Other,Others,,39253000,Kilogram,464
969813,,Baoshan,Others,Process with imported materials,India,India,Xiangxi,Others,,52010000,Kilogram,499891
2747523,,Yangzhou,Others,Ordinary trade,Indonesia,Indonesia,Xuzhou,Others,,26040000,Kilogram,24612735
2485268,,Dandong,Others,Ordinary trade,Russia,Russia,Qingdao,Others,,27011100,Kilogram,18002000
50923,,Other,Others,Ordinary trade,Sweden,Sweden,Jinhua,Others,,72230000,Kilogram,1515
1142,,Qiqihar,Others,Ordinary trade,Italy,Italy,4453,Special Economic Zone,,84559000,Kilogram,100
97667,,Dongcheng,Others,Ordinary trade,Spain,Spain,Fuzhou,Others,,22030000,Liter,119875
1132055,,Zhongshan,Others,Ordinary trade,UnitedStates,UnitedStates,Xuhui,Others,,4062000,Kilogram,100261
421260,,Jingan,Others,Ordinary trade,KoreaRep,KoreaRep,Guangzhou,Others,,29173500,Kilogram,300000
1762454,,Rizhao,Others,Ordinary trade,Indonesia,Indonesia,Hepin,Others,,26011120,Kilogram,21513015
7908233,,Shaoxing,Others,Ordinary trade,Malaysia,Malaysia,Other,6,,29024300,Kilogram,5235507
18,,Xiamen,Special Economic Zone,Ordinary trade,Taiwanprov.,Taiwanprov.,Nan’an,Others,,17049000,Kilogram,7
15594,,Other,Others,Ordinary trade,Japan,Japan,3118,Others,,55032000,Kilogram,2500
1511,,Zhuji,Others,Ordinary trade,KoreaRep,KoreaRep,Hefei,Others,,55092100,Kilogram,378
320000,,Jingdezhen,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Nanjing,Others,,84571010,Number of item/Set,3
239348,,Jincheng,Others,Ordinary trade,Indonesia,Indonesia,Quanzhou,Others,,15162000,Kilogram,260160
1001758,,Xuanwu,Others,Ordinary trade,Russia,Russia,Suifenhe,Others,,27011900,Kilogram,15411500
420,,Daxing,Ecoomic & Technological Development Area,Ordinary trade,Singapore,UnitedStates,Jingan,Others,,28530090,Kilogram,13
2986,,Wuqing,Others,Ordinary trade,Israel,Israel,Luwan,Others,,84669400,Kilogram,7
2051822,,Zhangzhou,Others,Ordinary trade,Thailand,Thailand,Daxing,Ecoomic & Technological Development Area,,17011400,Kilogram,4578000
21220,,Jingzhou,Others,Ordinary trade,UnitedStates,UnitedStates,Dongcheng,Others,,90278099,Number of item/Set,1
108807,,Jiangmen,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Minhang,Others,,84361000,Number of item/Set,2
10078,,Dongcheng,Others,Ordinary trade,UnitedStates,UnitedStates,Jiaxing,Others,,44039100,Cubic meter,17
2521301,,Other,Others,Ordinary trade,Indonesia,Indonesia,Hangzhou,Others,,38231100,Kilogram,2860000
1046,,Jiaxing,Others,39,UnitedKingdom,UnitedKingdom,Nantong,Others,,48211000,Kilogram,520
330,,Suifenhe,Others,Ordinary trade,Denmark,Denmark,Haidion,Others,,39205100,Kilogram,2
399192,,Shenzhen,Special Economic Zone,Ordinary trade,Australia,Australia,Nantong,Others,,10011900,Kilogram,1035950
18307632,,Zhangjiagang,Others,Ordinary trade,UnitedArabEmirates,UnitedArabEmirates,Ningbo,Ecoomic & Technological Development Area,,15141100,Kilogram,14892997
4139,,Zhuhai,Special Economic Zone,Ordinary trade,Macau,Germany,Shapingba,Others,,91059900,Number of item/Set,1
37462,,Shenzhen,Special Economic Zone,Ordinary trade,France,France,Shijingshan,Others,,84733090,Kilogram,25
512425,,Jiangyin,Others,Ordinary trade,Philippines,Philippines,Zhuhai,Special Economic Zone,,26011110,Kilogram,5704000
27,,Other,Others,Ordinary trade,Netherlands,Ethiopia,Mentougou,Others,,6031100,Kilogram,3
2010,,Shenyang,Others,39,KoreaRep,KoreaRep,Aletai,Others,,49111010,Kilogram,1670
6422981,,3117,Others,Ordinary trade,UnitedStates,UnitedStates,Fengtai,Others,,36010000,Kilogram,260801
31137,,Jinxi,Others,Ordinary trade,Belgium,Germany,3119,Others,,44079200,Cubic meter,71
371110,,Wenzhou,Others,Ordinary trade,Vietnam,Vietnam,Hefei,Others,,10064010,Kilogram,1000000
2069526,,Akesu,Others,Ordinary trade,Australia,Australia,Nanyang,Others,,52010000,Kilogram,936390
54613,,Liaoyang,Others,Ordinary trade,Pakistan,Pakistan,Xiamen,Special Economic Zone,,52051200,Kilogram,18144
6455468,,Jiangmen,Others,Ordinary trade,UnitedStates,UnitedStates,Chaoyang,Others,,10019900,Kilogram,20000000
1705168,,Chongde,Others,Ordinary trade,Australia,Australia,Xiamen,Special Economic Zone,,26140000,Kilogram,9964399
31673,,Haikou,Special Economic Zone,Ordinary trade,Canada,Canada,Nanjing,Others,,44071090,Cubic meter,133
6834496,,Rizhao,Others,Ordinary trade,Iran,Iran,Guangzhou,Others,,26011120,Kilogram,54097398
12215,,Other,Others,Ordinary trade,Italy,Italy,Hedong,Others,,22019010,Kilolitre,40
464371,,Hohhot,Others,Ordinary trade,Germany,Germany,Jiaozhuo,Others,,84798200,Number of item/Set,2
72240,,Zhuji,Others,Ordinary trade,HongKong,Italy,Wuhan,Others,,84471100,Number of item/Set,56
454141,,Jiangbei,Ecoomic & Technological Development Area,Ordinary trade,Malaysia,Malaysia,Shenzhen,Special Economic Zone,,14049090,Kilogram,2153830
21188,,Changchun,Others,Ordinary trade,Netherlands,Germany,5128,Others,,84212110,Number of item/Set,2200
375289,,Tongnan,Others,Ordinary trade,Italy,Italy,3119,Others,,84193200,Number of item/Set,1
89,,Fuzhou,Others,Ordinary trade,HongKong,China,Wuxi,Hi-Technology Industry Development Area,,39241000,Kilogram,3
56734,,Xicheng,Others,Ordinary trade,Germany,Germany,Hebi,Others,,32041990,Kilogram,1639
498461,,Yichun,Others,Process & assembling,Russia,Russia,Tieli,Others,,44079100,Cubic meter,1086
93,,Other,Others,Ordinary trade,Japan,Japan,4512,Others,,39172100,Kilogram,2
16030,,3118,Others,Ordinary trade,UnitedStates,UnitedStates,Huangpu,Others,,2071429,Kilogram,25855
703244,,Qingdao,Others,Ordinary trade,UnitedStates,UnitedStates,Wenzhou,Ecoomic & Technological Development Area,,23033000,Kilogram,2083211
1465,,Kaifeng,Others,Ordinary trade,Japan,Japan,Guangzhou,Others,,34039900,Kilogram,60
833223,,Bijie,Others,Ordinary trade,Germany,Germany,Kunming,Ecoomic & Technological Development Area,,90181310,Number of item/Set,1
762190,,Jiuquan,Others,Ordinary trade,UnitedStates,UnitedStates,Changpin,Others,,12092500,Kilogram,498960
399,,Kunshan,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Jiaxing,Others,,39173900,Kilogram,6
10196,,Zhabei,Others,Ordinary trade,Australia,Australia,Baoshan,Others,,22042100,Liter,2016
152,,Yancheng,Others,39,KoreaRep,KoreaRep,5126,Others,,39173900,Kilogram,10
65280,,Fuzhou,Others,Ordinary trade,Spain,Spain,Chaoyang,Others,,3033110,Kilogram,27361
35589,,Chongde,Others,Ordinary trade,Indonesia,Indonesia,Pudong,Ecoomic & Technological Development Area,,44029000,Kilogram,78850
1164690,,Kunshan,Others,Ordinary trade,Romania,Romania,Fengtai,Others,,84195000,Number of item/Set,2
184500,,Beichen,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Shenyang,Others,,84581100,Number of item/Set,3
4756,,Xiaoshen,Others,Ordinary trade,India,India,Huangyan,Others,,39061000,Kilogram,1600
27552,,Other,Others,Ordinary trade,Australia,Australia,Tanggu,Ecoomic & Technological Development Area,,22042100,Liter,3456
111170,,Xicheng,Others,Ordinary trade,Gabon,Gabon,3356,Others,,44072990,Cubic meter,239
53926,,Lishui,Others,Ordinary trade,Mexico,Mexico,Dongguan,Others,,25151100,Kilogram,105420
1608458,,Other,Others,Ordinary trade,Peru,Peru,Suifenhe,Others,,23012010,Kilogram,1005800
20000,,Other,Others,Ordinary trade,UnitedStates,UnitedStates,Jingmen,Others,,73269010,Kilogram,2863
10943,,Jiaxing,Others,Ordinary trade,Malaysia,India,Hefei,Hi-Technology Industry Development Area,,6039000,Kilogram,476
583,,Xi'an,Others,Ordinary trade,KoreaRep,KoreaRep,Wujiang,Others,,39235000,Kilogram,44
455,,Huangpu,Others,Ordinary trade,NewZealand,NewZealand,Jingan,Others,,4021000,Kilogram,25
37948,,Bayannaoer,Others,Ordinary trade,Mongolia,Mongolia,Hohhot,Others,,27011210,Kilogram,480350
1354,,Jinan,Others,39,UnitedStates,UnitedStates,3117,Others,,39269010,Kilogram,125
4723,,Rongchen,Others,Process with imported materials,Netherlands,Netherlands,Jinan,Others,,73079100,Kilogram,7
6500,,Baodi,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,4453,Special Economic Zone,,85044013,Number of item/Set,350
165883,,Xuhui,Others,Ordinary trade,Ukraine,Ukraine,Qingdao,Others,,15121100,Kilogram,172200
2596,,Yiwu,Others,Ordinary trade,Thailand,Thailand,3352,Others,,20059999,Kilogram,126
27719,,Pudong,Ecoomic & Technological Development Area,Ordinary trade,France,France,Luwan,Others,,2064900,Kilogram,24530
187220,,Zhangjiagang,Others,Ordinary trade,Japan,Japan,Dongli,Others,,34031100,Kilogram,64430
36075,,Minhang,Others,Ordinary trade,UnitedKingdom,UnitedKingdom,Fangshan,Others,,38119000,Kilogram,179
106862,,Other,Others,Ordinary trade,Malaysia,Malaysia,Panyu,Others,,14049090,Kilogram,518003
1029588,,Zhabei,Others,Ordinary trade,UnitedStates,UnitedStates,Xiamen,Special Economic Zone,,4021000,Kilogram,248550
1800,,Zhongshan,Others,Ordinary trade,UnitedStates,UnitedStates,Chuxian,Others,,39233000,Kilogram,255
375000,,Jinan,Others,Ordinary trade,Germany,Germany,Dongying,Others,,90241090,Number of item/Set,1
6159037,,Shantou,Special Economic Zone,Ordinary trade,Indonesia,Indonesia,Pingxiang,Others,,27011900,Kilogram,84048000
143442,,2218,Others,Process & assembling,KoreaRep,KoreaRep,2218,Others,,3036700,Kilogram,116745
7472096,,Xiamen,Special Economic Zone,Ordinary trade,Indonesia,Indonesia,Kunming,Others,,15119010,Kilogram,9498462
151,,Pudong,Ecoomic & Technological Development Area,Ordinary trade,Japan,Japan,Nan’an,Others,,25262020,Kilogram,100
18280,,Handan,Others,Ordinary trade,Japan,Japan,3118,Others,,68159931,Kilogram,260
15878,,Huangshan,Others,Ordinary trade,KoreaRep,KoreaRep,Hangzhou,Others,,32121000,Kilogram,780
19843,,Liaochen,Others,Ordinary trade,KoreaRep,KoreaRep,Pudong,Ecoomic & Technological Development Area,,32082010,Kilogram,7200
88318,,Yingkou,Others,Ordinary trade,Philippines,Philippines,Dezhou,Others,,26100000,Kilogram,366892
893,,Haidion,Others,Ordinary trade,UnitedKingdom,UnitedKingdom,pingu,Others,,32141090,Kilogram,100
21378,,Other,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Wujiang,Others,,84283910,Number of item/Set,2
53970,,Shiyan,Others,Ordinary trade,Cameroon,Cameroon,Changzhou,Others,,52010000,Kilogram,24980
90938591,,Jiayuguan,Others,Ordinary trade,Kazakhstan,Kazakhstan,Jiayuguan,Others,,26011110,Kilogram,928600000
505108,,Xiamen,Special Economic Zone,Ordinary trade,Thailand,Thailand,Other,Others,,11029011,Kilogram,432000
2049421,,Jiangyin,Others,Ordinary trade,Malaysia,Malaysia,Tangshan,Others,,26011120,Kilogram,18273930
1578,,Pudong,Ecoomic & Technological Development Area,Ordinary trade,Italy,Italy,Heihe,Others,,39262090,Kilogram,6
370750,,Xuhui,Others,Ordinary trade,KoreaRep,KoreaRep,Cixi,Others,,34049000,Kilogram,110000
43711813,,Other,Others,Ordinary trade,Netherlands,Netherlands,Guiyang,Others,,27075000,Kilogram,41703596
82666,,Bangbu,Others,Ordinary trade,Singapore,Singapore,Nanjing,Others,,39019020,Kilogram,49500
429331,,Other,Others,Ordinary trade,UnitedStates,UnitedStates,Huzhou,Others,,21069090,Kilogram,5160
59654,,Dandong,Others,Ordinary trade,KoreaRep,KoreaRep,Pudong,Bonded Area,,39181090,Kilogram,22944
102000,,Huangpu,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,4451,Others,,29151300,Kilogram,12000
24,,Changpin,Others,39,Japan,Japan,Weifang,Others,,39232900,Kilogram,1
3164,,Langfang,Others,39,KoreaRep,India,Xuanwu,Others,,72285000,Kilogram,1253
29264,,3118,Others,Ordinary trade,UnitedStates,UnitedStates,Taicang,Others,,39209990,Kilogram,1006
1150000,,Xiaoshen,Others,Ordinary trade,Japan,Japan,Haidion,Others,,84136021,Number of item/Set,8
1137,,Jingan,Others,Ordinary trade,Germany,Poland,Zhuhai,Others,,44201090,Kilogram,14
413653,,Other,Others,Ordinary trade,UnitedStates,UnitedStates,Zhengzhou,Others,,41015019,Kilogram,132860
1140,,Yangzhou,Others,Process & assembling,Japan,Japan,Changning,Others,,39211100,Kilogram,92
2215,,Other,Others,Ordinary trade,Germany,Germany,Guangzhou,Others,,22041000,Liter,153
917,,Dalian,Others,Ordinary trade,UnitedStates,UnitedStates,Gongzhuling,Others,,63079000,Kilogram,2
42312,,Taizhou,Others,Ordinary trade,Germany,Malta,Jiaxing,Others,,85168000,Number of item/Set,95
643200,,Shaoguan,Others,Ordinary trade,Japan,Japan,Nanjing,Others,,84454010,Number of item/Set,4
52295,,Changning,Others,Ordinary trade,Germany,Germany,Fengtai,Others,,4012000,Kilogram,106873
596581,,Other,Others,Ordinary trade,Thailand,Thailand,Hongqiao,Others,,10063010,Kilogram,534000
45,,Taizhou,Others,39,Japan,Japan,Nantong,Ecoomic & Technological Development Area,,84099199,Kilogram,1
55157,,Xiaoshen,Others,Ordinary trade,Thailand,Thailand,Yichung,Others,,39159010,Kilogram,52373
8289,,Jiangyin,Others,Ordinary trade,Japan,Japan,Yangzhou,Others,,70109020,Kilogram,2525
21545,,Shenzhen,Special Economic Zone,Ordinary trade,KoreaRep,KoreaRep,Nanhai,Others,,19041000,Kilogram,1671
7238955,,Jiaxing,Others,Ordinary trade,Japan,Japan,Zhoushan,Others,,29024300,Kilogram,5004177
23775,,Hangzhou,Others,Ordinary trade,Thailand,Thailand,Xishuangbanna,Others,,27101991,Kilogram,11926
97350,,Chaoyang,Others,Ordinary trade,Brazil,Brazil,Nanjing,Others,,2071422,Kilogram,52995
223,,Xuzhou,Others,Ordinary trade,Malaysia,Malaysia,3352,Others,,26011120,Kilogram,2230
5825506,,Taizhou,Others,Ordinary trade,Russia,Russia,Zhabei,Others,,27011210,Kilogram,39844000
1452,,Shunyi,Others,39,Japan,Japan,Minhang,Others,,39269010,Kilogram,30
29,,Shunyi,Others,Process & assembling,Japan,Japan,Changzhou,Others,,39232100,Kilogram,2
320760,,Dujiangyan,Others,Ordinary trade,Singapore,Singapore,Baoding,Others,,39012000,Kilogram,198000
1255470,,Linfen,Others,Ordinary trade,UnitedStates,UnitedStates,Nantong,Others,,10019900,Kilogram,4044285
80867,,Lingling,Others,Process with imported materials,Thailand,Thailand,Suxian,Others,,17019910,Kilogram,125000
1559,,Other,Others,Ordinary trade,France,Italy,Mishan,Others,,83100000,Kilogram,47
2100,,Harbin,Others,Ordinary trade,India,India,Nanjing,Others,,25309099,Kilogram,1050
45,,Zhangjiagang,Others,Ordinary trade,Poland,Poland,Nanpin,Others,,39269090,Kilogram,12
3631219,,Sipin,Others,Ordinary trade,Japan,Japan,Tanggu,Bonded Area,,39151000,Kilogram,4787385
404997,,Jiaxing,Others,Ordinary trade,HongKong,Germany,4451,Others,,84431313,Number of item/Set,1
2850145,,Fuxin,Others,Ordinary trade,Australia,Australia,Xiamen,Special Economic Zone,,26140000,Kilogram,10000510
3225,,Yushu,Others,Ordinary trade,Norway,Norway,Xicheng,Others,,40169310,Kilogram,1
148996,,Other,Others,Ordinary trade,India,India,Taicang,Others,,15153000,Kilogram,109960
139620,,Zhengzhou,Others,Ordinary trade,Switzerland,Switzerland,Yantai,Ecoomic & Technological Development Area,,90278099,Number of item/Set,1
11154,,Putuo,Others,Ordinary trade,UnitedStates,UnitedStates,Xinghua,Others,,40051000,Kilogram,309
1518000,,Jiujiang,Others,Ordinary trade,KoreaRep,KoreaRep,Changzhou,Others,,27132000,Kilogram,2300000
148638,,Wuhan,Others,Ordinary trade,Bangladesh,Bangladesh,4453,Special Economic Zone,,12074090,Kilogram,182000
451,,Other,Others,Ordinary trade,UnitedKingdom,UnitedKingdom,Longkou,Others,,39231000,Kilogram,24
59,,Xuanwu,Others,Ordinary trade,Finland,Finland,Huairou,Others,,59119000,Kilogram,1
788,,Jinhua,Others,39,HongKong,China,Luwan,Others,,42022100,Kilogram,1
104700000,,3119,Others,Ordinary trade,Iran,Iran,Zhuhai,Special Economic Zone,,27090000,Kilogram,131500000
54964,,Jiulongpo,Others,Ordinary trade,Belgium,Belgium,Changchun,Others,,59069100,Kilogram,2589
1232059,,Putian,Others,Ordinary trade,Vietnam,Vietnam,Dezhou,Others,,27011100,Kilogram,15913120
79579,,Xianning,Others,Ordinary trade,India,India,Dongguan,Others,,52051200,Kilogram,40915
10948,,Other,Others,Ordinary trade,Germany,Germany,Jiyuan,Others,,73181510,Kilogram,42
1341300,,Tangshan,Others,Ordinary trade,"Korea,DPR","Korea,DPR",Hangzhou,Others,,26011110,Kilogram,13778872
10883,,Luwan,Others,Ordinary trade,Germany,Germany,Taicang,Others,,85044091,Number of item/Set,1
820000,,Kunming,Others,Ordinary trade,S.Africa,S.Africa,Weihai,Others,,1061910,Kilogram,16000
504700,,Nanjing,Others,Ordinary trade,Kampuchea,Kampuchea,Panyu,Others,,10063010,Kilogram,500000
308729,,Other,Others,Ordinary trade,Japan,Japan,Jiamusi,Others,,47032900,Kilogram,504600
347116,,Changpin,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Pudong,Ecoomic & Technological Development Area,,21069090,Kilogram,3730
15775,,Zhanjiang,Others,Ordinary trade,HongKong,KoreaRep,Hexi,Others,,74112200,Kilogram,1125
94902,,Quanzhou,Others,Ordinary trade,Bangladesh,Bangladesh,Laiwu,Others,,28211000,Kilogram,837000
59952,,Dalian,Others,Ordinary trade,UnitedStates,UnitedStates,Nanhui,Others,,27101992,Kilogram,12240
650,,Langfang,Others,Ordinary trade,Germany,Germany,Hepin,Others,,49111010,Kilogram,420
8851,,Langfang,Others,39,Japan,Japan,pingu,Others,,40169310,Kilogram,144
1318719,,Changpin,Others,Ordinary trade,UnitedStates,UnitedStates,Daxing,Others,,12149000,Kilogram,3298822
41,,Yiwu,Others,39,India,India,Baoshan,Others,,39262090,Kilogram,0
2956,,Yuzhong,Others,Ordinary trade,UnitedStates,UnitedStates,Yubei,Ecoomic & Technological Development Area,,13021990,Kilogram,345
1157683,,Zhenjiang,Others,Ordinary trade,Vietnam,Vietnam,Nanhai,Others,,26140000,Kilogram,5029720
901680,,Changsha,Others,Ordinary trade,KoreaRep,KoreaRep,Shenyang,Ecoomic & Technological Development Area,,39012000,Kilogram,588000
13392,,Bangbu,Others,Process with imported materials,KoreaRep,KoreaRep,Daxing,Ecoomic & Technological Development Area,,73044190,Kilogram,848
16665,,Weifang,Others,Ordinary trade,Belgium,Germany,Jiaxing,Others,,44039200,Cubic meter,66
310300000,,Dongying,Others,Ordinary trade,Oman,Oman,Fengtai,Others,,27090000,Kilogram,386700000
33153607,,Shenyang,Others,Ordinary trade,UnitedStates,UnitedStates,Rizhao,Others,,12019010,Kilogram,54395838
212503,,Other,Others,Ordinary trade,Cameroon,Cameroon,Changzhou,Others,,52010000,Kilogram,98358
973110,,Haicheng,Others,Ordinary trade,UnitedStates,UnitedStates,Fengtai,Others,,90181310,Number of item/Set,1
4750,,Nankai,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Miyun,Others,,84818021,Number of item/Set,208
683401,,3119,Others,Ordinary trade,NewZealand,NewZealand,Xiamen,Special Economic Zone,,4022100,Kilogram,197125
1640639,,Jinghai,Others,Process & assembling,Australia,Australia,Tanggu,Ecoomic & Technological Development Area,,5040012,Kilogram,628740
5831,,Huangpu,Others,Ordinary trade,Japan,Japan,Zhabei,Others,,28276000,Kilogram,40
15411222,,Handan,Others,Ordinary trade,India,India,Rizhao,Others,,26011120,Kilogram,144500000
320000,,Chenzhou,Export Processing Zone,Ordinary trade,Canada,Canada,Chaoyang,Others,,90221990,Number of item/Set,1
52159000,,Qingdao,Others,Warehousing trade,Iran,Iran,Wuqing,Others,,27101922,Kilogram,86000000
32568,,Wuhu,Others,Ordinary trade,Iran,Iran,Urumqi,Others,,57024200,Kilogram,23235
89234,,Tongxian,Others,Ordinary trade,S.Africa,S.Africa,Chaoyang,Others,,3062190,Kilogram,1910
24894772,,Shantou,Special Economic Zone,Ordinary trade,Indonesia,Indonesia,Xicheng,Others,,27011900,Kilogram,292000000
1299894,,Qingdao,Others,Ordinary trade,Venezuela,Venezuela,Laiwu,Others,,26011110,Kilogram,9841356
580808,,4606,Ecoomic & Technological Development Area,39,Netherlands,Netherlands,Maoming,Others,,84139100,Kilogram,20326
78281,,Sanya,Special Economic Zone,Ordinary trade,Germany,Germany,Nanjing,Others,,84021900,Number of item/Set,2
271,,Nanhai,Others,Ordinary trade,Germany,China,Chuxian,Others,,51061000,Kilogram,33
93012,,Shenyang,Others,Ordinary trade,Thailand,Thailand,Quanzhou,Others,,11081400,Kilogram,190000
32404,,Dalian,Others,Ordinary trade,Australia,Australia,Panyu,Others,,22042100,Liter,9536
1052130,,Nanhai,Others,Ordinary trade,KoreaRep,KoreaRep,Dongguan,Others,,29141100,Kilogram,991738
145950,,Qingdao,Ecoomic & Technological Development Area,Ordinary trade,Russia,Russia,Shenyang,Others,,25030000,Kilogram,1042501
40750,,Jiangmen,Others,Ordinary trade,Turkey,Turkey,Hefei,Others,,17025000,Kilogram,22250
5151,,4515,Others,Ordinary trade,France,France,Nanning,Others,,84812010,Number of item/Set,1
14500,,Nanjing,Others,Process with imported materials,Singapore,China,Kunming,Others,,39073000,Kilogram,770
102306,,Shunyi,Others,Ordinary trade,HongKong,HongKong,Qinhuangdao,Others,,85234920,Number of item/Set,4
10967751,,Yixing,Others,Ordinary trade,Philippines,Philippines,Rizhao,Others,,74031111,Kilogram,1489661
4620,,Huangpu,Others,Process & assembling,KoreaRep,KoreaRep,3752,Others,,54075200,Meter,3017
31999,,Xiamen,Special Economic Zone,Ordinary trade,UnitedStates,UnitedStates,Haidion,Others,,2071422,Kilogram,24999
82704,,Weifang,Others,Process with imported materials,Bulgaria,Bulgaria,Qingzhou,Others,,20019090,Kilogram,24360
1242364,,Changzhou,Others,Ordinary trade,Indonesia,Indonesia,3752,Others,,26011120,Kilogram,21152890
436976,,Baoshan,Others,Process with imported materials,UnitedKingdom,UnitedKingdom,Changzhou,Others,,7131090,Kilogram,462000
135540,,Xianyang,Others,Ordinary trade,Australia,Australia,Changzhou,Others,,52010000,Kilogram,58000
95760,,Qingdao,Ecoomic & Technological Development Area,Ordinary trade,Kazakhstan,Kazakhstan,Changzhi,Others,,25030000,Kilogram,598500
103,,Haidion,Others,Ordinary trade,Japan,Japan,Baoding,Others,,70193900,Kilogram,95
1204,,Suzhou,Others,Ordinary trade,UnitedStates,UnitedStates,3352,Others,,27101992,Kilogram,109
2590,,Shunyi,Others,39,Japan,Japan,Zhangzhou,Others,,33074900,Kilogram,92
37800,,Xiamen,Special Economic Zone,Ordinary trade,France,France,Qinzhou,6,,22042100,Liter,13500
66846,,Zhengzhou,Others,Ordinary trade,Netherlands,Germany,Ganzhou,Others,,28272000,Kilogram,36000
3000,,Kunshan,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Xuzhou,Others,,34059000,Kilogram,34
148634,,Pudong,Ecoomic & Technological Development Area,Ordinary trade,Canada,Canada,Haidion,Others,,2064900,Kilogram,98048
18,,Suzhou,Others,Ordinary trade,Singapore,Singapore,Luwan,Others,,39201090,Kilogram,20
112,,Zunyi,Others,39,Germany,Germany,4453,Special Economic Zone,,40151900,Kilogram,1
257000,,Fushen,Others,Ordinary trade,Russia,Russia,Tanggu,Ecoomic & Technological Development Area,,1061211,Kilogram,340
26662,,Zhabei,Others,Ordinary trade,Australia,Australia,Qingpu,Others,,15091000,Kilogram,2650
108168,,Other,Others,Ordinary trade,Thailand,Thailand,Kunshan,Others,,69101000,Kilogram,15994
1000,,Beipei,Others,39,Taiwanprov.,Taiwanprov.,Jiangbei,6,,49019900,Kilogram,13896
22657,,Hengshui,Others,Ordinary trade,Japan,Japan,Tanggu,Bonded Area,,39151000,Kilogram,32270
11588645,,Lianyungang,Others,Ordinary trade,Indonesia,Indonesia,Luwan,Others,,26040000,Kilogram,117300000
59800,,Suzhou,Others,Ordinary trade,Spain,Spain,Changzhou,Others,,29126000,Kilogram,80000
976351,,Other,Others,Ordinary trade,Australia,Australia,Wuhu,Others,,12072900,Kilogram,3024576
55904,,Tanggu,Others,Warehousing trade,Canada,Canada,Dandong,Others,,2032900,Kilogram,24500
71821,,Nanchang,Ecoomic & Technological Development Area,Ordinary trade,Lithuania,Lithuania,Taizhou,Others,,44032010,Cubic meter,534
5123196,,Maanshang,Others,Ordinary trade,Mozambique,S.Africa,Hangzhou,Others,,26011110,Kilogram,38638335
183963,,Fuzhou,Others,Ordinary trade,Mauritania,Mauritania,3512,8,,3038910,Kilogram,65504
193154,,Shenyang,Others,Ordinary trade,Australia,Australia,Dalian,Others,,2022000,Kilogram,66605
685149,,Shantou,Special Economic Zone,Ordinary trade,SaudiArabia,SaudiArabia,Fengtai,Others,,39021000,Kilogram,495000
6020,,Nanchang,Export Processing Zone,Ordinary trade,Taiwanprov.,Taiwanprov.,Ganzhou,Others,,84615000,Number of item/Set,1
267829,,Pudong,Ecoomic & Technological Development Area,Ordinary trade,Malaysia,Malaysia,Chuongming,Others,,18069000,Kilogram,28578
260780,,Fuzhou,Others,Ordinary trade,HongKong,Japan,Wenzhou,Others,,84452032,Number of item/Set,10
859408,,Meihekou,Others,Ordinary trade,Japan,Japan,Harbin,Others,,90314990,Number of item/Set,2
264290,,Haining,Others,Ordinary trade,Pakistan,Pakistan,Daxing,Ecoomic & Technological Development Area,,52051200,Kilogram,97524
304625,,Hunchun,Others,Process with imported materials,"Korea,DPR","Korea,DPR",Jilin,Hi-Technology Industry Development Area,,8029030,Kilogram,19440
329940,,Huanggang,Others,Ordinary trade,KoreaRep,KoreaRep,Minhang,Others,,39012000,Kilogram,216000
1558668,,Yancheng,Others,Ordinary trade,Iran,Iran,Xuzhou,Others,,27011900,Kilogram,21000086
2701182,,Taizhou,Others,Ordinary trade,Indonesia,Indonesia,Wuxi,Others,,15132100,Kilogram,2998000
803998,,Other,Special Economic Zone,Ordinary trade,Vietnam,Vietnam,4469,Others,,10063010,Kilogram,1950000
22888,,Quanzhou,Others,Ordinary trade,UnitedKingdom,France,Zhabei,Others,,22011010,Liter,22239
18615,,Taizhou,Others,Ordinary trade,UnitedStates,UnitedStates,Xicheng,Others,,25232900,Kilogram,2669
11165,,Yantai,Others,Ordinary trade,KoreaRep,KoreaRep,Wuqing,Others,,39074000,Kilogram,3500
88432,,Lanxi,Others,Ordinary trade,India,India,Tangshan,Others,,52051200,Kilogram,43137
80292,,Nanjing,Others,Ordinary trade,Japan,Japan,Taizhou,Others,,35069190,Kilogram,12240
28608,,Kunshan,Others,Ordinary trade,UnitedStates,UnitedStates,Zhenjiang,Others,,51011100,Kilogram,10109
250,,Yubei,Others,39,UnitedStates,UnitedStates,Zhangjiagang,Others,,39074000,Kilogram,25
1750504,,Yingkou,Others,Ordinary trade,Indonesia,Indonesia,Hangzhou,Others,,26011110,Kilogram,24312902
400595,,Lianyungang,Others,Ordinary trade,"Korea,DPR","Korea,DPR",Dandong,Others,,26169000,Kilogram,2662648
