value,customs_districts_label,location_chinese_trader,trader_zone,customs_regime,country_of_destination,country_of_consumption,location_chinese_producer,producer_zone,transportation_modes,china_hs8,quantity_unit,quantity
1292,,Kunming,Others,39,Sweden,Sweden,Jiading,Others,,85371011,Number of item/Set,4
101966,,Other,Others,Ordinary trade,Uruguay,Uruguay,Jiangyin,Others,,51011100,Kilogram,19059
152,,Guangzhou,Others,Ordinary trade,Venezuela,Venezuela,Zigong,Others,,42021290,Kilogram,13
6419,,Nanjing,Others,Ordinary trade,Fiji,Fiji,Shangrao,Others,,26030000,Kilogram,510
66514,,Harbin,Others,Ordinary trade,Japan,Japan,Jiulongpo,Others,,84099999,Kilogram,6632
56,,Jining,Others,Ordinary trade,Japan,Japan,Hexi,Others,,39269010,Kilogram,6
230,,Luwan,Others,39,Japan,Japan,Ningbo,Others,,48211000,Kilogram,12
8765250,,Yueyang,Others,Ordinary trade,Argentina,Argentina,Pudong,Ecoomic & Technological Development Area,,12019010,Kilogram,15000000
10615,,Nanhui,Others,Ordinary trade,HongKong,China,Huangpu,Others,,21069090,Kilogram,102600
24662,,Xiamen,Special Economic Zone,Ordinary trade,Indonesia,Indonesia,Qingdao,Others,,12122161,Kilogram,40980
3778959,,Nantong,Others,Warehousing trade,KoreaRep,KoreaRep,Suifenhe,Others,,27073000,Kilogram,3011123
195585,,Xinxiang,Others,Ordinary trade,UnitedStates,UnitedStates,Fuzhou,Others,,90181291,Number of item/Set,1
40721,,Hongkou,Others,Ordinary trade,Mozambique,Mozambique,Fuzhou,Others,,44039990,Cubic meter,75
359277,,Langfang,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Minhang,Others,,84621010,Number of item/Set,1
1409,,Maoming,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Shenzhen,Others,,39206200,Kilogram,200
7804,,Hanzhong,Others,Process with imported materials,UnitedKingdom,UnitedKingdom,Dongcheng,Others,,72221100,Kilogram,1924
1072891,,Other,Others,Ordinary trade,Indonesia,Indonesia,Xiangtan,Others,,26190000,Kilogram,7126000
110396,,Xuanwu,Others,Ordinary trade,Germany,Austria,Kunshan,Others,,44071090,Cubic meter,479
416,,Laohekou,Others,39,Austria,Austria,Wuhan,Others,,49119910,Kilogram,40
84200,,Daqing,Others,Ordinary trade,UnitedKingdom,UnitedKingdom,Haidion,Hi-Technology Industry Development Area,,40169390,Kilogram,31
2141929,,Erenhot,Others,Border trade,Russia,Russia,Tongjiang,Others,,27101991,Kilogram,2456727
5691673,,Changshu,Others,Ordinary trade,India,India,Xuanwu,Others,,26011120,Kilogram,51679550
